bgg_id,name,year,game_type,designer,artist,publisher,min_players,max_players,min_players_rec,max_players_rec,min_players_best,max_players_best,min_age,min_age_rec,min_time,max_time,avg_time,category,mechanic,cooperative,compilation,compilation_of,family,implementation,integration,rank,num_votes,avg_rating,stddev_rating,bayes_rating,complexity,language_dependency,bga_id,dbpedia_id,luding_id,spielen_id,wikidata_id,wikipedia_id
170977,Dungeon Escape Micro Edition: The Classic Game of Memory,2014.0,,,,Twizz Entertainment,2.0,2.0,2.0,2.0,2.0,2.0,5.0,,5.0,5.0,5.0,Fantasy,Memory,,,,"Admin: Better Description Needed!, Crowdfunding: Kickstarter, Players: Two Player Only Games",162556,,,5.0,6.4,2.05913,,2.0,,,,,,,
170984,Timeline: Sports et Loisirs,2014.0,,Frédéric Henry,"Xavier Collette, Nicolas Fructus",Asmodee,2.0,8.0,2.0,8.0,2.0,8.0,8.0,,15.0,15.0,15.0,"Card Game, Educational, Sports",,,,,Game: Timeline,,"173156,156659,161546,161547,257284,99975,323352,113401,131325,85256,145189",14026.0,67.0,6.58836,1.77686,5.52961,1.0,,,,,,,
170994,Suez 1916: The Ottomans Strike,2014.0,War Game,,"Larry Hoffman, Joe Youst",Decision Games (I),1.0,2.0,1.0,2.0,1.0,2.0,12.0,,90.0,90.0,90.0,"Wargame, World War I","Dice Rolling, Hexagon Grid",,,,"Country: Egypt, Series: Fire & Movement combat system (Decision Games), Series: Folio (Decision Games)",,,,29.0,6.56379,1.17009,,2.5,,,,,,,
170996,Gaza 1917: Gateway to Jerusalem,2014.0,War Game,"Eric R. Harvey, Joseph Miranda","Larry Hoffman, Lise Patterson, Joe Youst",Decision Games (I),1.0,2.0,1.0,2.0,1.0,2.0,12.0,,90.0,90.0,90.0,"Wargame, World War I",Hexagon Grid,,,,"Series: Fire & Movement combat system (Decision Games), Series: Folio (Decision Games)",,,,21.0,6.39286,1.0817,,2.0,,,,,,,
170998,"Tannenberg: East Prussia, August 1914",2014.0,War Game,Chris Perello,"Callie Cummins, Larry Hoffman, Lise Patterson, Joe Youst",Decision Games (I),1.0,2.0,1.0,2.0,1.0,2.0,12.0,,90.0,90.0,90.0,"Wargame, World War I",Hexagon Grid,,,,"Cities: Olsztyn (Poland), History: 1914 Guns of August Campaign, Series: Fire & Movement combat system (Decision Games), Series: Folio (Decision Games)",,,,20.0,6.865,1.09374,,2.1667,,,,,,,
170999,Masuria: Winter Battle 1915,2014.0,War Game,,,Decision Games (I),1.0,2.0,1.0,2.0,1.0,2.0,12.0,,90.0,90.0,90.0,"Wargame, World War I",Hexagon Grid,,,,"Country: Poland, Series: Fire & Movement combat system (Decision Games), Series: Folio (Decision Games)",,,,16.0,6.205,0.801327,,2.0,,,,,,,
171002,World of Twilight: Chronicles of Anyaral,2014.0,,Michael Thorp,Michael Thorp,(Self-Published),2.0,4.0,2.0,4.0,2.0,4.0,,,45.0,45.0,45.0,"Fantasy, Miniatures","Dice Rolling, Die Icon Resolution, Turn Order: Random",,,,,,,,7.0,8.28571,0.880631,,3.0,,,,,,,
171011,Favor of the Pharaoh,2015.0,Family Game,Thomas Lehmann,Ollin Timm,"Bézier Games, Group SNE, Viravi Edicions",2.0,4.0,2.0,4.0,2.0,2.0,13.0,,45.0,45.0,45.0,Dice,"Deck, Bag, and Pool Building, Dice Rolling, Re-rolling and Locking",,,,"Country: Egypt, Misc: Mensa Select",21632,,1699.0,2921.0,6.79442,1.25856,6.26945,2.0,,,,,,,
171037,Doctor Panic,2016.0,Party Game,Roberto Fraga,Éric Azagury,Repos Production,2.0,9.0,2.0,9.0,2.0,9.0,7.0,,12.0,12.0,12.0,"Action / Dexterity, Electronic, Humor, Medical, Party Game, Real-time",Cooperative Game,1.0,,,"Components: Tweezers, Misc: LongPack Games, Occupation: Medic / Doctor / Nurses",,,6990.0,469.0,6.20276,1.43635,5.62576,1.3,,,,,,,
171087,Jenga Quake,2013.0,,,,Hasbro,1.0,99.0,1.0,99.0,1.0,99.0,6.0,,10.0,10.0,10.0,"Action / Dexterity, Electronic",Single Loser Game,,,,"Game: Jenga (Official), Theme: Earthquakes",,,20229.0,88.0,5.62773,1.65276,5.50012,1.0,,,,,,,
